"time","humidity","LDR","MoistureLevel","temperature"
"2070637","68","2818","1435","31.79999924"
"5311266","61","2915","3419","32.5"
"2104875","60","2391","3613","31.89999962"
"1591555","59","2360","3646","31.79999924"
"1461692","59","2397","3648","31.70000076"
"2404134","60","2349","3635","31.89999962"
"18206293","62","2746","1409","31.5"
"18226348","62","2799","1397","31.5"
"1226327","60","2306","3612","31.60000038"
"1611846","59","2347","3617","31.79999924"
"1525598","59","2410","3731","31.70000076"
"2590803","60","2390","3602","31.89999962"
"2528933","60","2407","3611","31.89999962"
"9903737","61","3987","1424","31.89999962"
"4759687","61","2885","3469","32"
"385282","61","2293","3647","32"
"4298433","61","2896","3461","31.89999962"
"26171","65","2273","3419","32.5"
"1654454","59","2287","3620","31.79999924"
"9402374","63","3579","1403","32.09999847"
"1448491","59","2273","3654","31.70000076"
"17223623","61","2766","1401","31.5"
"38341","65","2137","3410","32.5"
"2010513","60","2407","3623","31.89999962"
"41386","71","1465","2987","32.09999847"
"696912","65","2766","1450","31.70000076"
"738750","62","3043","3477","31.89999962"
"1986167","60","2415","3579","31.89999962"
"950374","60","2370","3583","31.89999962"
"983843","60","2299","3603","31.89999962"
"285966","61","2791","3472","31.89999962"
"2361527","60","2418","3606","31.89999962"
"2092429","62","3355","3472","31.89999962"
"2663851","60","2325","3625","31.79999924"
"2480237","60","2401","3629","31.89999962"
"20051289","62","2818","1434","31.60000038"
"1704150","59","2357","3648","31.79999924"
"564858","61","2371","3600","31.89999962"
"42136","64","1936","2859","33.29999924"
"95258","64","2162","3016","32.79999924"
"596280","66","2418","1846","31.39999962"
"547599","61","2275","3632","31.89999962"
"2792706","60","2304","3639","31.79999924"
"4509006","61","2900","3494","31.89999962"
"1953704","60","2288","3644","32"
"3696797","61","3244","3499","31.89999962"
"1168195","66","2838","1445","31.79999924"
"102849","65","2037","2650","32.5"
"17043132","61","2741","1427","31.5"
"17815230","61","2782","1413","31.5"
"1758931","59","2298","3646","31.89999962"
"5261129","61","3039","3633","32.40000153"
"2812995","60","2416","3662","31.79999924"
"54561","70","1987","1696","32.09999847"
"123187","64","2238","3281","33.20000076"
"16090547","61","4095","1427","31.60000038"
"2147484","60","2359","3583","31.89999962"
"15438774","61","4095","1420","31.70000076"
"18958335","62","2805","1412","31.5"
"2060237","60","2394","3630","31.89999962"
"6885549","61","3088","3446","32.20000076"
"115613","60","2384","3617","31.89999962"
"2363557","60","2299","3615","31.89999962"
"22076786","65","2738","1406","31.79999924"
"16541767","61","2752","1409","31.60000038"
"1764016","59","2357","3583","31.89999962"
"130660","70","1975","2559","32.40000153"
"170953","64","1983","3371","33.20000076"
"2575601","60","2334","3612","31.89999962"
"397820","62","2854","3472","31.79999924"
"29341","64","2546","3396","32.90000153"
"1742699","59","2357","3615","31.89999962"
"2392988","60","2323","3646","31.89999962"
"13182645","61","4029","1426","31.79999924"
"307176","61","2383","3664","31.89999962"
"645924","63","412","1735","32.20000076"
"319351","61","2419","3652","31.89999962"
"138491","64","2068","2480","33.29999924"
"2177916","60","2401","3621","32"
"655951","63","403","1717","32.20000076"
"24691","65","2431","3193","32.59999847"
"158696","65","2229","2479","32.79999924"
"1177629","60","2289","3568","31.60000038"
"18809","60","2421","3325","32"
"724126","61","2372","3648","31.89999962"
"332528","61","2278","3664","32"
"1557062","59","2385","3599","31.70000076"
"2421392","60","2311","3633","31.89999962"
"11919213","62","3795","1413","31.79999924"
"1673717","59","2416","3647","31.79999924"
"5421565","61","2893","3433","32.40000153"
"36301","71","972","1808","32.20000076"
"17303841","61","2770","1415","31.5"
"1350097","59","2282","3627","31.70000076"
"286442","null","2715","3495","null"
"225123","60","2805","3488","31.70000076"
"1768973","62","463","1734","32.5"
"117568","65","2180","3019","32.79999924"
"20733143","63","2787","1403","31.79999924"
"165349","59","2865","3447","31.79999924"
"19951019","62","2831","1426","31.5"
"1625020","59","2309","3617","31.79999924"
"16491631","61","2801","1417","31.60000038"
"1957763","60","2327","3601","31.89999962"
"2563427","60","2382","3603","31.89999962"
"21226","64","2149","3259","32.90000153"
"355873","61","2299","3583","31.89999962"
"2852546","60","2384","3616","31.79999924"
"839024","62","2839","3494","31.89999962"
"2862691","60","2345","3603","31.79999924"
"96810","64","1923","2487","33.20000076"
"112399","65","2112","3493","32.5"
"18908199","62","2833","1584","31.5"
"2300656","60","2418","3583","32"
"7232","65","2185","3040","32.70000076"
"1425170","59","2384","3631","31.70000076"
"1323718","59","2512","3619","31.60000038"
"384280","61","2308","3583","32"
"2072374","62","3071","3491","31.89999962"
"277742","61","2287","3626","31.89999962"
"22778688","68","2715","1418","32"
"2063268","60","2288","3616","31.89999962"
"17504384","61","2697","1411","31.5"
"18346675","62","2783","1393","31.5"
"15508966","61","4095","1427","31.70000076"
"420093","71","2190","1469","31"
"15815","65","2025","3144","32.70000076"
"569918","61","2395","3762","31.89999962"
"1753871","59","2293","3626","31.89999962"
"1421112","59","2355","3625","31.70000076"
"49143","null","2046","2960","null"
"254127","64","1938","2192","33.09999847"
"20642897","63","2704","1425","31.70000076"
"63421","64","2007","2864","33.29999924"
"2261102","60","2333","3562","31.89999962"
"532395","61","2370","3583","31.89999962"
"2497469","60","2307","3615","31.89999962"
"139420","64","2000","2326","33.20000076"
"1641252","59","2377","3598","31.79999924"
"48115","null","1969","2858","null"
"14235499","61","4095","1406","31.79999924"
"175686","null","2621","3484","null"
"10996703","60","3736","1412","31.79999924"
"118593","65","2139","3002","32.79999924"
"42154","60","2502","3397","31.89999962"
"576585","65","2719","1415","31.70000076"
"2196174","60","2352","3583","31.89999962"
"50104","67","2037","2642","32.29999924"
"1030507","60","2294","3583","31.89999962"
"69430","64","1989","2491","33.20000076"
"15498938","61","4095","1401","31.70000076"
"701807","61","2379","3569","31.89999962"
"6464404","61","2938","3439","32.20000076"
"1443430","59","2320","3623","31.70000076"
"6436","65","1821","2587","32.70000076"
"10044119","61","3999","1426","31.89999962"
"1984138","60","2303","3625","31.89999962"
"870214","60","2357","3642","31.89999962"
"295314","60","2775","3493","31.79999924"
"65449","64","1947","2864","33.29999924"
"296725","65","1931","2191","33"
"1157652","61","2759","3513","31.89999962"
"5371429","61","2880","3426","32.40000153"
"16230928","61","4095","1425","31.60000038"
"2280345","62","613","1707","32.40000153"
"2903272","60","2409","3681","31.79999924"
"16050440","61","4095","1405","31.60000038"
"1091377","60","2266","3600","31.70000076"
"41187","65","1983","3125","32.70000076"
"2286453","60","2318","3633","32"
"696552","66","2426","1831","31.39999962"
"1259792","59","2339","3619","31.60000038"
"2617182","60","2310","3607","31.79999924"
"260508","61","2390","3583","31.89999962"
"2759214","60","2341","3615","31.79999924"
"49375","null","2045","2859","null"
"1668701","63","463","1715","32.5"
"285859","61","2288","3643","31.89999962"
"3777016","61","2848","3482","31.89999962"
"1387939","62","438","1703","32.59999847"
"32244","70","1999","1819","32.09999847"
"543541","61","2320","3728","31.89999962"
"279771","61","2397","3568","31.89999962"
"1671688","59","2336","3626","31.79999924"
"94768","60","2768","3521","31.70000076"
"3596524","61","2851","3488","31.89999962"
"2108931","60","2293","3611","31.89999962"
"399487","61","2368","3647","31.89999962"
